"SYMBOL","NAME OF COMPANY"," SERIES"," DATE OF LISTING"," PAID UP VALUE"," MARKET LOT"," ISIN NUMBER"," FACE VALUE"
"SITASHREE","Sita Shree Food Products Limited","EQ","07-APR-2008",10,1,"INE686I01011",10
"SIYSIL","Siyaram Silk Mills Limited","EQ","29-JAN-2007",10,1,"INE076B01010",10
"SJVN","SJVN Limited","EQ","20-MAY-2010",10,1,"INE002L01015",10
"SKFINDIA","SKF India Limited","EQ","27-JAN-1999",10,1,"INE640A01023",10
"SKSMICRO","SKS Microfinance Limited","EQ","16-AUG-2010",10,1,"INE180K01011",10
"SKUMARSYNF","S. Kumars Nationwide Limited","EQ","23-AUG-1995",10,1,"INE772A01016",10
"SMARTLINK","Smartlink Network Systems Limited","EQ","11-APR-2001",2,1,"INE178C01020",2
"SMLISUZU","SML Isuzu Limited","EQ","29-AUG-2003",10,1,"INE294B01019",10
"SMPL","Sujana Metal Products Limited","EQ","09-MAR-2010",5,1,"INE215G01021",5
"SMSPHARMA","SMS Pharmaceuticals Limited","EQ","28-FEB-2007",10,1,"INE812G01017",10
"SOBHA","Sobha Developers Limited","EQ","20-DEC-2006",10,1,"INE671H01015",10
"SOLARINDS","Solar Industries India Limited","EQ","03-APR-2006",10,1,"INE343H01011",10
"SOMANYCERA","Somany Ceramics Limited","EQ","22-NOV-1995",2,1,"INE355A01028",2
"SOMATEX","Soma Textiles & Industries Limited","EQ","14-AUG-1996",10,1,"INE314C01013",10
"SONASTEER","Sona Koyo Steering Systems Limited","EQ","12-JAN-2004",1,1,"INE643A01035",1
"SONATSOFTW","Sonata Software Limited","EQ","28-JUL-1999",1,1,"INE269A01021",1
"SOTL","Savita Oil Technologies Limited","EQ","28-JUN-1995",10,1,"INE035D01012",10
"SOUISPAT","Southern Ispat And Energy Limited","EQ","01-OCT-2010",10,1,"INE943B01011",10
"SOUTHBANK","The South Indian Bank Limited","EQ","08-DEC-1998",1,1,"INE683A01023",1
"SPANCO","Spanco Limited","EQ","29-DEC-2010",10,1,"INE360B01026",10
"SPARC","Sun Pharma Advanced Research Company Limited","EQ","18-JUL-2007",1,1,"INE232I01014",1
"SPECTACLE","Spectacle Infotek Limited","EQ","09-MAR-2010",1,1,"INE409H01028",1
"SPENTEX","Spentex Industries Limited","EQ","20-DEC-2006",10,1,"INE376C01020",10
"SPIC","Southern Petrochemicals Industries Corporation  Limited","EQ","10-JAN-1996",10,1,"INE147A01011",10
"SPICEMOBIL","Spice Mobility Limited","EQ","27-MAY-2008",3,1,"INE927C01020",3
"SPLIL","SPL Industries Limited","EQ","26-JUL-2005",10,1,"INE978G01016",10
"SPMLINFRA","SPML Infra Limited","EQ","14-FEB-1996",2,1,"INE937A01023",2
"SPYL","Shekhawati Poly-Yarn Limited","EQ","12-JAN-2011",10,1,"INE268L01012",10
"SREINFRA","SREI Infrastructure Finance Limited","EQ","20-DEC-1995",10,1,"INE872A01014",10
"SRF","SRF Limited","EQ","18-AUG-2003",10,1,"INE647A01010",10
"SRGINFOTEC","SRG Infotec (India) Limited","EQ","27-NOV-1996",10,1,"INE376A01032",10
"SRHHLINDST","SRHHL Industries Limited","EQ","08-MAY-2007",10,1,"INE724B01023",10
"SRHHYPOLTD","Sree Rayalaseema Hi-Strength Hypo Limited","EQ","08-MAY-2007",10,1,"INE917H01012",10
"SRICHAMUND","Sri Chamundeswari Sugars Limited","EQ","01-OCT-2010",10,1,"INE004H01019",10
"SRTRANSFIN","Shriram Transport Finance Company Limited","EQ","11-DEC-1996",10,1,"INE721A01013",10
"SSWL","Steel Strips Wheels Limited","EQ","06-JUN-2005",10,1,"INE802C01017",10
"STAR","Strides Arcolab Limited","EQ","02-FEB-2000",10,1,"INE939A01011",10
"STARPAPER","Star Paper Mills Limited","EQ","13-SEP-1995",10,1,"INE733A01018",10
"STCINDIA","The State Trading Corporation of India Limited","EQ","01-APR-2003",10,1,"INE655A01013",10
"STER","Sterlite Industries ( India ) Limited","EQ","28-MAY-2004",1,1,"INE268A01049",1
"STERLINBIO","Sterling Biotech Limited","EQ","12-MAY-2003",1,1,"INE324C01038",1
"STERTOOLS","Sterling Tools Limited","EQ","02-FEB-2006",10,1,"INE334A01015",10
"STINDIA","STI India Limited","EQ","06-DEC-1995",10,1,"INE090C01019",10
"STOREONE","Store One Retail India Limited","EQ","06-DEC-2005",10,1,"INE034H01016",10
"STRTECH","Sterlite Technologies Limited","EQ","08-DEC-2000",2,1,"INE089C01029",2
"SUBEX","Subex Limited","EQ","05-SEP-2003",10,1,"INE754A01014",10
"SUDARSCHEM","Sudarshan Chemical Industries Limited","EQ","25-MAY-1995",10,1,"INE659A01015",10
"SUJANAUNI","Sujana Universal Industries Limited","EQ","19-FEB-2008",10,1,"INE216G01011",10
"SUMEETINDS","Sumeet Industries Limited","EQ","10-DEC-2010",10,1,"INE235C01010",10
"SUNCLAYTON","Sundaram Clayton Limited","EQ","20-JUN-2008",5,1,"INE105A01027",5
"SUNDARAM","Sundaram Multi Pap Limited","EQ","02-JUN-2010",1,1,"INE108E01023",1
"SUNDARMFIN","Sundaram Finance Limited","EQ","07-JAN-1998",10,1,"INE660A01013",10
"SUNDRMBRAK","Sundaram Brake Linings Limited","EQ","17-JUL-1996",10,1,"INE073D01013",10
"SUNDRMFAST","Sundram Fasteners Limited","EQ","07-JUN-2000",1,1,"INE387A01021",1
"SUNFLAG","Sunflag Iron And Steel Company Limited","EQ","29-SEP-2005",10,1,"INE947A01014",10
"SUNILHITEC","Sunil Hitech Engineers Limited","EQ","02-MAR-2006",10,1,"INE305H01010",10
"SUNPHARMA","Sun Pharmaceuticals Industries Limited","EQ","08-FEB-1995",1,1,"INE044A01036",1
"SUNTECK","Sunteck Realty Limited","EQ","13-NOV-2009",2,1,"INE805D01026",2
"SUNTV","Sun TV Network Limited","EQ","24-APR-2006",5,1,"INE424H01027",5
"SUPER","Super Sales India Limited","EQ","08-JAN-2010",10,1,"INE091C01017",10
"SUPERSPIN","Super Spinning Mills Limited","EQ","08-JUL-2004",1,1,"INE662A01027",1
"SUPPETRO","Supreme Petrochem Limited","EQ","13-OCT-1999",10,1,"INE663A01017",10
"SUPRAJIT","Suprajit Engineering Limited","EQ","18-FEB-2005",1,1,"INE399C01030",1
"SUPREMEIND","Supreme Industries Limited","EQ","19-JUL-1995",2,1,"INE195A01028",2
"SUPREMEINF","Supreme Infrastructure India Limited","EQ","18-OCT-2007",10,1,"INE550H01011",10
"SURAJDIAMN","Su-Raj Diamonds and Jewellery Limited","EQ","10-NOV-2003",10,1,"INE664A01015",10
"SURANACORP","Surana Corporation Limited","EQ","27-MAY-2008",10,1,"INE357D01010",10
"SURANAIND","Surana Industries Limited","EQ","28-DEC-2006",10,1,"INE659D01019",10
"SURANAT&P","Surana Telecom and Power Limited","EQ","22-MAY-2002",5,1,"INE130B01023",5
"SURANAT&P","Surana Telecom and Power Limited","TT","22-MAY-2002",5,1,"INE130B01023",5
"SURANAVEL","Surana Ventures Limited","EQ","07-JAN-2011",10,1,"INE272L01014",10
"SURYAJYOTI","Suryajyoti Spinning Mills Limited","EQ","02-MAR-2006",10,1,"INE411C01017",10
"SURYALAXMI","Suryalakshmi Cotton Mills Limited","EQ","15-JUN-2005",10,1,"INE713B01026",10
"SURYAPHARM","Surya Pharmaceutical Limited","EQ","21-JAN-2004",1,1,"INE249G01020",1
"SURYAROSNI","Surya Roshni Limited","EQ","10-MAY-1995",10,1,"INE335A01012",10
"SUTLEJTEX","Sutlej Textiles and Industries Limited","EQ","14-DEC-2006",10,1,"INE645H01019",10
"SUVEN","Suven Life Sciences Limited","EQ","23-OCT-2003",1,1,"INE495B01038",1
"SUZLON","Suzlon Energy Limited","EQ","19-OCT-2005",2,1,"INE040H01021",2
"SWARAJENG","Swaraj Engines Limited","EQ","06-DEC-1995",10,1,"INE277A01016",10
"SYNCOM","Syncom Healthcare Limited","EQ","15-FEB-2010",10,1,"INE602K01014",10
"SYNDIBANK","Syndicate Bank","EQ","22-DEC-1999",10,1,"INE667A01018",10
"TAINWALCHM","Tainwala Chemical and Plastic (I) Limited","EQ","27-JUL-1995",10,1,"INE123C01018",10
"TAJGVK","Taj GVK Hotels & Resorts Limited","EQ","20-DEC-2000",2,1,"INE586B01026",2
"TAKE","Take Solutions Limited","EQ","27-AUG-2007",1,1,"INE142I01023",1
"TALBROAUTO","Talbros Automotive Components Limited","EQ","29-SEP-2006",10,1,"INE187D01011",10
"TALWALKARS","Talwalkars Better Value Fitness Limited","EQ","10-MAY-2010",10,1,"INE502K01016",10
"TANFACIND","Tanfac Industries Limited","EQ","02-MAR-2010",10,1,"INE639B01015",10
"TANLA","Tanla Solutions Limited","EQ","05-JAN-2007",1,1,"INE483C01032",1
"TANTIACONS","Tantia Constructions Limited","EQ","19-FEB-2008",10,1,"INE388G01018",10
"TARAPUR","Tarapur Transformers Limited","EQ","18-MAY-2010",10,1,"INE747K01017",10
"TATACHEM","Tata Chemicals Limited","EQ","01-APR-1999",10,1,"INE092A01019",10
"TATACOFFEE","Tata Coffee Limited","EQ","16-FEB-2000",10,1,"INE493A01019",10
"TATACOMM","Tata Communications Limited","EQ","12-APR-1995",10,1,"INE151A01013",10
"TATAELXSI","Tata Elxsi Limited","EQ","17-SEP-2003",10,1,"INE670A01012",10
"TATAGLOBAL","Tata Global Beverages Limited","EQ","18-NOV-1998",1,1,"INE192A01025",1
"TATAINVEST","Tata Investment Corporation Limited","EQ","24-JUN-1998",10,1,"INE672A01018",10
"TATAMETALI","Tata Metaliks Limited","EQ","27-MAY-2003",10,1,"INE056C01010",10
"TATAMOTORS","Tata Motors Limited","EQ","22-JUL-1998",10,1,"INE155A01014",10
"TATAMTRDVR","Tata Motors Limited","EQ","05-NOV-2008",10,1,"IN9155A01012",10
"TATAPOWER","Tata Power Company Limited","EQ","03-APR-1996",10,1,"INE245A01013",10
"TATASPONGE","Tata Sponge Iron Limited","EQ","24-FEB-2003",10,1,"INE674A01014",10
"TATASTEEL","Tata Steel Limited","EQ","18-NOV-1998",10,1,"INE081A01012",10
"TCI","Transport Corporation of India Limited","EQ","21-JAN-2002",2,1,"INE688A01022",2
"TCS","Tata Consultancy Services Limited","EQ","25-AUG-2004",1,1,"INE467B01029",1
"TECHM","Tech Mahindra Limited","EQ","28-AUG-2006",10,1,"INE669C01028",10
"TECHNO","Techno Electric & Engineering Company Limited","EQ","10-NOV-2010",2,1,"INE286K01024",2
"TECHNOFAB","Technofab Engineering Limited","EQ","16-JUL-2010",10,1,"INE509K01011",10
"TECPRO","Tecpro Systems Limited","EQ","12-OCT-2010",10,1,"INE904H01010",10
"TELEDATAIT","Teledata Technology Solutions Limited","EQ","15-JUL-2009",2,1,"INE391I01018",2
"TEXMACOLTD","Texmaco Limited","EQ","09-SEP-2004",1,1,"INE435C01024",1
"TEXMOPIPES","Texmo Pipes and Products Limited","EQ","10-MAR-2010",10,1,"INE141K01013",10
"TFCILTD","Tourism Finance Corporation of India Limited","EQ","26-JUL-2000",10,1,"INE305A01015",10
"TFL","Transwarranty Finance Limited","EQ","26-FEB-2007",10,1,"INE804H01012",10
"THANGAMAYL","Thangamayil Jewellery Limited","EQ","19-FEB-2010",10,1,"INE085J01014",10
"THEMISMED","Themis Medicare Limited","EQ","02-APR-2007",10,1,"INE083B01016",10
"THERMAX","Thermax Limited","EQ","30-AUG-1995",2,1,"INE152A01029",2
"THINKSOFT","Thinksoft Global Services Limited","EQ","26-OCT-2009",10,1,"INE201K01015",10
"THIRUSUGAR","Thiru Arooran Sugars Limited","EQ","02-MAY-1995",10,1,"INE409A01015",10
"THOMASCOOK","Thomas Cook  (India)  Limited","EQ","07-JUN-2000",1,1,"INE332A01027",1
"TI","Tilaknagar Industries Limited","EQ","16-JUL-2010",10,1,"INE133E01013",10
"TIDEWATER","Tide Water Oil Company (India) Limited","EQ","16-JAN-2007",10,1,"INE484C01014",10
"TIIL","Technocraft Industries (India) Limited","EQ","12-FEB-2007",10,1,"INE545H01011",10
"TIL","TIL Limited","EQ","27-SEP-1995",10,1,"INE806C01018",10
"TIMESGTY","Times Guaranty Limited","TT","11-JUN-2002",10,1,"INE289C01025",10
"TIMETECHNO","Time Technoplast Limited","EQ","13-JUN-2007",1,1,"INE508G01029",1
"TIMKEN","Timken India Limited","EQ","06-FEB-2007",10,1,"INE325A01013",10
"TINPLATE","The Tinplate Company of India Limited","EQ","27-JAN-2006",10,1,"INE422C01014",10
"TIPSINDLTD","TIPS Industries Limited","EQ","10-NOV-2000",10,1,"INE716B01011",10
"TIRUMALCHM","Thirumalai Chemicals Limited","EQ","14-MAY-2003",10,1,"INE338A01016",10
"TITAN","Titan Industries Limited","EQ","24-SEP-2004",10,1,"INE280A01010",10
"TNPETRO","Tamilnadu  PetroProducts Limited","EQ","27-OCT-1999",10,1,"INE148A01019",10
"TNPL","Tamil Nadu Newsprint & Papers Limited","EQ","14-FEB-1996",10,1,"INE107A01015",10
"TODAYS","Todays Writing Products Limited","EQ","08-OCT-2001",10,1,"INE944B01019",10
"TOKYOPLAST","Tokyo Plast International Limited","EQ","11-OCT-1995",10,1,"INE932C01012",10
"TORNTPHARM","Torrent Pharmaceuticals Limited","EQ","25-NOV-2002",5,1,"INE685A01028",5
"TORNTPOWER","Torrent Power Limited","EQ","28-NOV-2006",10,1,"INE813H01021",10
"TRENT","Trent Limited","EQ","07-JUN-2004",10,1,"INE849A01012",10
"TRF","TRF Limited","EQ","26-MAR-2010",10,1,"INE391D01019",10
"TRICOM","Tricom India Limited","EQ","20-DEC-2006",2,1,"INE771B01032",2
"TRIGYN","Trigyn Technologies Limited","EQ","09-APR-1998",10,1,"INE948A01012",10
"TRIL","Transformers And Rectifiers (India) Limited","EQ","28-DEC-2007",10,1,"INE763I01018",10
"TRIVENI","Triveni Engineering & Industries Limited","EQ","13-DEC-2005",1,1,"INE256C01024",1
"TTKHEALTH","TTK Healthcare Limited","EQ","08-JAN-2010",10,1,"INE910C01018",10
"TTKPRESTIG","TTK Prestige Limited","EQ","22-DEC-1999",10,1,"INE690A01010",10
"TTL","T T Limited","EQ","22-FEB-2007",10,1,"INE592B01016",10
"TTML","Tata Teleservices (Maharashtra) Limited","EQ","20-OCT-2000",10,1,"INE517B01013",10
"TUBEINVEST","Tube Investments of India Limited","EQ","10-MAY-1995",2,1,"INE149A01025",2
"TULIP","Tulip Telecom Limited","EQ","05-JAN-2006",2,1,"INE122H01027",2
"TULSI","Tulsi Extrusions Limited","EQ","25-FEB-2008",10,1,"INE474I01012",10
"TULSYAN","Tulsyan Nec Limited","EQ","05-NOV-2009",10,1,"INE463D01016",10
"TV-18","Television Eighteen India Limited","EQ","27-DEC-2006",5,1,"INE889A01026",5
"TVSELECT","TVS Electronics Limited","EQ","26-DEC-2003",10,1,"INE236G01019",10
"TVSMOTOR","TVS Motor Company Limited","EQ","02-AUG-2000",1,1,"INE494B01023",1
"TVSSRICHAK","TVS Srichakra Limited","EQ","13-FEB-2007",10,1,"INE421C01016",10
"TVTODAY","TV Today Network Limited","EQ","16-JAN-2004",5,1,"INE038F01029",5
"TVTODAY","TV Today Network Limited","TT","16-JAN-2004",5,1,"INE038F01029",5
"TWILITAKA","Twilight Litaka Pharma Limited","EQ","15-JUN-2010",5,1,"INE783B01029",5
"TWL","Titagarh Wagons Limited","EQ","21-APR-2008",10,1,"INE615H01012",10
"UBENGG","UB Engineering Limited","EQ","16-JUN-2009",10,1,"INE328C01013",10
"UBHOLDINGS","United Breweries (Holdings) Limited","EQ","21-MAY-2008",10,1,"INE696A01025",10
"UBL","United Breweries Limited","EQ","28-JUL-2008",1,1,"INE686F01025",1
"UCALFUEL","Ucal Fuel Systems Limited","EQ","13-SEP-1995",10,1,"INE139B01016",10
"UCOBANK","UCO Bank","EQ","09-OCT-2003",10,1,"INE691A01018",10
"UFLEX","UFLEX Limited","EQ","23-AUG-1995",10,1,"INE516A01017",10
"UGARSUGAR","The Ugar Sugar Works Limited","EQ","23-AUG-2010",1,1,"INE071E01023",1
"ULTRACEMCO","UltraTech Cement Limited","EQ","24-AUG-2004",10,1,"INE481G01011",10
"UMESLTD","Usha Martin Education & Solutions Limited","EQ","12-JUL-2010",1,1,"INE240C01028",1
"UNICHEMLAB","Unichem Laboratories Limited","EQ","07-FEB-2001",2,1,"INE351A01035",2
"UNIONBANK","Union Bank of India","EQ","24-SEP-2002",10,1,"INE692A01016",10
"UNIONBANK","Union Bank of India","IL","24-SEP-2002",10,1,"INE692A01016",10
"UNIPHOS","United Phosphorus Limited","EQ","23-JAN-2004",2,1,"INE628A01036",2
"UNIPLY","Uniply Industries Limited","EQ","08-MAR-2007",10,1,"INE950G01015",10
"UNITECH","Unitech Limited","EQ","08-SEP-1999",2,1,"INE694A01020",2
"UNITEDBNK","United Bank of India","EQ","18-MAR-2010",10,1,"INE695A01019",10
"UNITEDTEA","The United Nilgiri Tea Estates Company Limited","EQ","08-JAN-2010",10,1,"INE458F01011",10
"UNITY","Unity Infraprojects Limited","EQ","12-JUN-2006",2,1,"INE466H01028",2
"UNIVCABLES","Universal Cables Limited","EQ","17-MAY-1995",10,1,"INE279A01012",10
"UPERGANGES","Upper Ganges Sugar & Industries Limited","EQ","29-MAR-1995",10,1,"INE018B01012",10
"USHAMART","Usha Martin Limited","EQ","11-OCT-2000",1,1,"INE228A01035",1
"USHERAGRO","Usher Agro Limited","EQ","30-JUL-2010",10,1,"INE235G01011",10
"UTTAMSTL","Uttam Galva Steels Limited","EQ","25-MAY-1995",10,1,"INE699A01011",10
"UTTAMSUGAR","Uttam Sugar Mills Limited","EQ","10-APR-2006",10,1,"INE786F01031",10
"UTVSOF","UTV Software Communications Limited","EQ","17-MAR-2005",10,1,"INE507B01022",10
"VAIBHAVGEM","Vaibhav Gems Limited","EQ","05-APR-2004",10,1,"INE884A01019",10
"VAKRANSOFT","Vakrangee Softwares Limited","EQ","03-APR-2006",10,1,"INE051B01013",10
"VALECHAENG","Valecha Engineering Limited","EQ","11-SEP-2006",10,1,"INE624C01015",10
"VALUEIND","Value Industries Limited","EQ","31-JUL-1996",10,1,"INE352A01017",10
"VARDHACRLC","Vardhman Acrylics Limited","EQ","30-SEP-2003",10,1,"INE116G01013",10
"VARDMNPOLY","Vardhman Polytex Limited","EQ","12-MAY-2003",10,1,"INE835A01011",10
"VARUN","Varun Industries Limited","EQ","22-NOV-2007",10,1,"INE032G01012",10
"VARUNSHIP","Varun Shipping Company Limited","EQ","01-APR-2003",10,1,"INE702A01013",10
"VASCONEQ","Vascon Engineers Limited","EQ","15-FEB-2010",10,1,"INE893I01013",10
"VENKEYS","Venky's (India) Limited","EQ","28-JUL-2003",10,1,"INE398A01010",10
"VENUSREM","Venus Remedies Limited","EQ","20-DEC-2006",10,1,"INE411B01019",10
"VESUVIUS","Vesuvius India Limited","EQ","04-OCT-2002",10,1,"INE386A01015",10
"VGUARD","V-Guard Industries Limited","EQ","13-MAR-2008",10,1,"INE951I01019",10
"VHL","Vardhman Holdings Limited","EQ","30-JUN-2005",10,1,"INE701A01023",10
"VICEROY","Viceroy Hotels Limited","EQ","21-AUG-2007",10,1,"INE048C01017",10
"VIDEOIND","Videocon Industries Limited","EQ","31-JUL-1996",10,1,"INE703A01011",10
"VIJAYABANK","Vijaya Bank","EQ","10-JAN-2001",10,1,"INE705A01016",10
"VIJAYTEX","Vijayeswari Textiles Limited","EQ","09-AUG-2010",10,1,"INE119G01025",10
"VIJSHAN","Vijay Shanthi Builders Limited","EQ","21-MAY-2008",10,1,"INE806F01011",10
"VIKASHMET","Vikash Metal & Power Limited","EQ","28-NOV-2005",10,1,"INE158H01013",10
"VIMTALABS","Vimta Labs Limited","EQ","15-DEC-2005",2,1,"INE579C01029",2
"VINATIORGA","Vinati Organics Limited","EQ","28-JUL-2009",2,1,"INE410B01029",2
